Series ID,Year,Period,Value
CES3000000001,1939,M01,9077
CES3000000001,1939,M02,9175
CES3000000001,1939,M03,9275
CES3000000001,1939,M04,9309
CES3000000001,1939,M05,9299
CES3000000001,1939,M06,9315
CES3000000001,1939,M07,9231
CES3000000001,1939,M08,9400
CES3000000001,1939,M09,9604
CES3000000001,1939,M10,9873
CES3000000001,1939,M11,9896
CES3000000001,1939,M12,9949
CES3000000001,1940,M01,9927
CES3000000001,1940,M02,9916
CES3000000001,1940,M03,9884
CES3000000001,1940,M04,9817
CES3000000001,1940,M05,9810
CES3000000001,1940,M06,9832
CES3000000001,1940,M07,9766
CES3000000001,1940,M08,10048
CES3000000001,1940,M09,10258
CES3000000001,1940,M10,10471
CES3000000001,1940,M11,10643
CES3000000001,1940,M12,10847
CES3000000001,1941,M01,10993
CES3000000001,1941,M02,11211
CES3000000001,1941,M03,11409
CES3000000001,1941,M04,11698
CES3000000001,1941,M05,11957
CES3000000001,1941,M06,12204
CES3000000001,1941,M07,12382
CES3000000001,1941,M08,12532
CES3000000001,1941,M09,12683
CES3000000001,1941,M10,12770
CES3000000001,1941,M11,12810
CES3000000001,1941,M12,12876
CES3000000001,1942,M01,12965
CES3000000001,1942,M02,13127
CES3000000001,1942,M03,13311
CES3000000001,1942,M04,13509
CES3000000001,1942,M05,13704
CES3000000001,1942,M06,13842
CES3000000001,1942,M07,14072
CES3000000001,1942,M08,14339
CES3000000001,1942,M09,14582
CES3000000001,1942,M10,14772
CES3000000001,1942,M11,14971
CES3000000001,1942,M12,15288
CES3000000001,1943,M01,15532
CES3000000001,1943,M02,15685
CES3000000001,1943,M03,15856
CES3000000001,1943,M04,15961
CES3000000001,1943,M05,16044
CES3000000001,1943,M06,16204
CES3000000001,1943,M07,16306
CES3000000001,1943,M08,16369
CES3000000001,1943,M09,16366
CES3000000001,1943,M10,16512
CES3000000001,1943,M11,16598
CES3000000001,1943,M12,16526
CES3000000001,1944,M01,16439
CES3000000001,1944,M02,16330
CES3000000001,1944,M03,16170
CES3000000001,1944,M04,16012
CES3000000001,1944,M05,15944
CES3000000001,1944,M06,15890
CES3000000001,1944,M07,15832
CES3000000001,1944,M08,15781
CES3000000001,1944,M09,15662
CES3000000001,1944,M10,15630
CES3000000001,1944,M11,15568
CES3000000001,1944,M12,15659
CES3000000001,1945,M01,15669
CES3000000001,1945,M02,15581
CES3000000001,1945,M03,15473
CES3000000001,1945,M04,15335
CES3000000001,1945,M05,15201
CES3000000001,1945,M06,14948
CES3000000001,1945,M07,14599
CES3000000001,1945,M08,14201
CES3000000001,1945,M09,12486
CES3000000001,1945,M10,12487
CES3000000001,1945,M11,12537
CES3000000001,1945,M12,12528
CES3000000001,1946,M01,12719
CES3000000001,1946,M02,11922
CES3000000001,1946,M03,12545
CES3000000001,1946,M04,13200
CES3000000001,1946,M05,13389
CES3000000001,1946,M06,13598
CES3000000001,1946,M07,13771
CES3000000001,1946,M08,13981
CES3000000001,1946,M09,14135
CES3000000001,1946,M10,14182
CES3000000001,1946,M11,14310
CES3000000001,1946,M12,14301
CES3000000001,1947,M01,14328
CES3000000001,1947,M02,14278
CES3000000001,1947,M03,14259
CES3000000001,1947,M04,14240
CES3000000001,1947,M05,14189
CES3000000001,1947,M06,14200
CES3000000001,1947,M07,14076
CES3000000001,1947,M08,14200
CES3000000001,1947,M09,14315
CES3000000001,1947,M10,14393
CES3000000001,1947,M11,14414
CES3000000001,1947,M12,14428
CES3000000001,1948,M01,14438
CES3000000001,1948,M02,14339
CES3000000001,1948,M03,14364
CES3000000001,1948,M04,14183
CES3000000001,1948,M05,14235
CES3000000001,1948,M06,14318
CES3000000001,1948,M07,14359
CES3000000001,1948,M08,14353
CES3000000001,1948,M09,14441
CES3000000001,1948,M10,14390
CES3000000001,1948,M11,14292
CES3000000001,1948,M12,14086
CES3000000001,1949,M01,13867
CES3000000001,1949,M02,13734
CES3000000001,1949,M03,13581
CES3000000001,1949,M04,13439
CES3000000001,1949,M05,13269
CES3000000001,1949,M06,13178
CES3000000001,1949,M07,13067
CES3000000001,1949,M08,13158
CES3000000001,1949,M09,13225
CES3000000001,1949,M10,12891
CES3000000001,1949,M11,12882
CES3000000001,1949,M12,13062
CES3000000001,1950,M01,13161
CES3000000001,1950,M02,13169
CES3000000001,1950,M03,13290
CES3000000001,1950,M04,13471
CES3000000001,1950,M05,13780
CES3000000001,1950,M06,13923
CES3000000001,1950,M07,14072
CES3000000001,1950,M08,14461
CES3000000001,1950,M09,14561
CES3000000001,1950,M10,14737
CES3000000001,1950,M11,14762
CES3000000001,1950,M12,14782
CES3000000001,1951,M01,14950
CES3000000001,1951,M02,15076
CES3000000001,1951,M03,15125
CES3000000001,1951,M04,15166
CES3000000001,1951,M05,15164
CES3000000001,1951,M06,15176
CES3000000001,1951,M07,15110
CES3000000001,1951,M08,15061
CES3000000001,1951,M09,14996
CES3000000001,1951,M10,14973
CES3000000001,1951,M11,14999
CES3000000001,1951,M12,15045
CES3000000001,1952,M01,15067
CES3000000001,1952,M02,15105
CES3000000001,1952,M03,15127
CES3000000001,1952,M04,15162
CES3000000001,1952,M05,15143
CES3000000001,1952,M06,14828
CES3000000001,1952,M07,14707
CES3000000001,1952,M08,15279
CES3000000001,1952,M09,15553
CES3000000001,1952,M10,15690
CES3000000001,1952,M11,15843
CES3000000001,1952,M12,15973
CES3000000001,1953,M01,16067
CES3000000001,1953,M02,16158
CES3000000001,1953,M03,16270
CES3000000001,1953,M04,16293
CES3000000001,1953,M05,16341
CES3000000001,1953,M06,16343
CES3000000001,1953,M07,16353
CES3000000001,1953,M08,16278
CES3000000001,1953,M09,16151
CES3000000001,1953,M10,15981
CES3000000001,1953,M11,15728
CES3000000001,1953,M12,15581
CES3000000001,1954,M01,15440
CES3000000001,1954,M02,15307
CES3000000001,1954,M03,15197
CES3000000001,1954,M04,15065
CES3000000001,1954,M05,14974
CES3000000001,1954,M06,14910
CES3000000001,1954,M07,14799
CES3000000001,1954,M08,14772
CES3000000001,1954,M09,14805
CES3000000001,1954,M10,14841
CES3000000001,1954,M11,14913
CES3000000001,1954,M12,14967
CES3000000001,1955,M01,15034
CES3000000001,1955,M02,15138
CES3000000001,1955,M03,15258
CES3000000001,1955,M04,15375
CES3000000001,1955,M05,15493
CES3000000001,1955,M06,15585
CES3000000001,1955,M07,15614
CES3000000001,1955,M08,15679
CES3000000001,1955,M09,15668
CES3000000001,1955,M10,15740
CES3000000001,1955,M11,15813
CES3000000001,1955,M12,15859
CES3000000001,1956,M01,15882
CES3000000001,1956,M02,15889
CES3000000001,1956,M03,15829
